
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 10월 20일~11월 18일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
군산,140,10-20,      14.9,      20.3,      10.5,       1.5,      73.9,       6.9,,,    1016.9,    1020.1,       2.6
울산,152,10-20,      15.9,      21.1,      11.6,       2.2,      67.7,       5.8,       4.6,,    1014.6,    1019.5,       2.0
창원,155,10-20,      16.7,      21.6,      12.7,       2.0,      62.8,       6.5,       3.9,,    1016.6,    1019.2,       1.7
광주,156,10-20,      15.6,      21.7,      10.7,       1.6,      67.4,       6.7,       3.8,,    1011.1,    1019.8,       1.6
부산,159,10-20,      17.3,      21.9,      14.0,       2.9,      63.1,       6.6,       4.3,       3.2,    1010.8,    1019.0,       3.2
통영,162,10-20,      16.9,      21.8,      13.1,       2.7,      67.4,       6.7,,,    1015.7,    1019.5,       2.4
목포,165,10-20,      16.2,      21.4,      12.2,       1.4,      71.0,       6.9,       3.9,       3.0,    1014.9,    1019.9,       3.1
여수,168,10-20,      17.1,      20.7,      14.1,       2.2,      62.6,       7.0,       3.7,       4.3,    1011.3,    1019.3,       4.4
흑산도,169,10-20,      16.6,      19.1,      14.8,       0.9,      76.9,       6.6,       4.2,,    1010.2,    1019.5,       5.0
완도,170,10-20,      16.5,      21.4,      12.4,       1.8,      70.0,       6.6,,,    1015.8,    1019.5,       2.9
고창,172,10-20,      14.7,      21.7,       8.8,       2.2,      80.6,       6.6,,,    1014.0,    1020.2,       1.9
제주,184,10-20,      18.2,      21.4,      15.4,       2.2,      66.5,       5.4,       5.1,       3.4,    1016.9,    1019.5,       3.1
고산,185,10-20,      18.2,      21.2,      15.4,       1.8,      69.8,       6.6,,,    1010.2,    1018.7,       6.2
성산,188,10-20,      17.9,      21.7,      14.2,       3.3,      69.4,       6.2,,,    1017.0,    1019.2,       3.1
서귀포,189,10-20,      19.1,      23.1,      15.9,       3.0,      63.2,       6.7,       4.4,       3.8,    1012.4,    1018.4,       2.8
진주,192,10-20,      14.3,      21.7,       8.0,       2.6,      71.6,       6.7,,,    1016.6,    1019.7,       1.1
강화,201,10-20,      13.2,      19.4,       7.4,       1.2,      69.6,       7.1,,,    1015.1,    1020.7,       1.6
양평,202,10-20,      12.4,      20.1,       6.8,       1.3,      75.7,       6.4,,,    1015.3,    1021.2,       0.9
이천,203,10-20,      12.3,      20.2,       6.1,       1.5,      71.2,       6.4,,,    1011.2,    1020.4,       0.9
인제,211,10-20,      11.1,      18.8,       5.6,       1.1,      72.1,       5.5,,,     997.1,    1021.1,       1.6
홍천,212,10-20,      11.3,      19.8,       5.7,       1.2,      71.7,       5.8,,,    1004.1,    1021.2,       0.9
태백,216,10-20,       9.8,      16.1,       4.4,       2.7,      71.3,       5.8,,,     937.2,    1020.3,       1.5
정선군,217,10-20,      11.9,      19.3,       6.8,       2.6,      74.5,       4.0,,,     985.2,    1021.8,       1.1
제천,221,10-20,      10.9,      19.3,       4.1,       2.2,      72.3,       6.6,,,     989.7,    1021.0,       1.2
보은,226,10-20,      11.6,      19.8,       5.2,       2.0,      73.9,       6.6,,,     999.4,    1020.2,       1.0
천안,232,10-20,      12.9,      20.3,       6.7,       1.7,      71.2,       6.9,,,    1016.3,    1020.4,       1.4
보령,235,10-20,      14.7,      20.5,       9.6,       1.8,      71.4,       7.1,,,    1018.1,    1020.2,       1.6
부여,236,10-20,      13.2,      21.2,       7.0,       1.7,      74.4,       6.8,,,    1018.9,    1020.5,       1.0
금산,238,10-20,      12.1,      20.5,       6.1,       2.0,      73.6,       5.9,,,    1000.1,    1020.7,       0.9
부안,243,10-20,      14.5,      20.9,       8.8,       1.4,      72.9,       6.7,,,    1019.2,    1020.4,       1.3
임실,244,10-20,      12.0,      20.4,       5.4,       1.6,      74.6,       6.4,,,     991.1,    1020.6,       1.0
정읍,245,10-20,      14.6,      21.1,       9.2,       1.7,      71.6,       6.3,,,    1014.6,    1020.2,       1.0
남원,247,10-20,      13.0,      21.3,       6.4,       1.6,      72.8,       6.6,,,    1008.1,    1020.4,       1.2
장수,248,10-20,      10.9,      19.3,       4.4,       1.8,      77.1,       5.8,,,     972.4,    1020.7,       1.3
영광군,252,10-20,      15.0,      21.9,       9.2,       1.8,      75.5,       6.9,,,    1015.3,    1019.8,       1.7
김해시,253,10-20,      17.3,      23.2,      12.9,       3.5,      66.0,       6.6,,,    1013.1,    1020.1,       1.8
순창군,254,10-20,      14.0,      22.1,       7.8,       2.7,      74.8,       6.6,,,    1005.0,    1020.1,       1.2
양산시,257,10-20,      17.1,      22.6,      12.4,       3.6,      68.4,       6.4,,,    1019.2,    1021.0,       2.5
강진군,259,10-20,      15.6,      22.6,       9.9,       1.6,      73.5,       6.5,,,    1018.8,    1020.3,       1.7
장흥,260,10-20,      14.4,      22.0,       7.9,       1.4,      72.6,       6.6,,,    1014.5,    1019.7,       1.5
해남,261,10-20,      14.8,      21.9,       8.1,       1.3,      72.6,       6.9,,,    1017.8,    1019.9,       1.8
고흥,262,10-20,      15.3,      21.9,       9.4,       1.9,      69.5,       6.7,,,    1013.5,    1019.7,       1.2
의령군,263,10-20,      13.9,      21.7,       8.1,       3.9,      81.4,       5.7,,,    1018.4,    1020.1,       0.9
함양군,264,10-20,      12.7,      21.4,       6.4,       3.1,      83.3,       5.7,,,    1002.5,    1020.6,       0.5
진도군,268,10-20,      15.8,      21.6,      10.7,       2.1,,,,,,,       1.8
봉화,271,10-20,      10.4,      19.0,       3.4,       1.8,      74.4,       5.7,,,     982.4,    1020.3,       1.2
영주,272,10-20,      12.2,      19.7,       5.7,       2.0,      70.0,       6.6,,,     995.4,    1020.3,       1.9
문경,273,10-20,      12.2,      19.5,       6.4,       2.2,      71.1,       6.5,,,     999.9,    1020.4,       1.4
청송군,276,10-20,      11.8,      19.7,       6.4,       3.2,      81.5,       4.4,,,     996.4,    1021.1,       0.7
영덕,277,10-20,      14.4,      20.0,       9.6,       3.5,      69.5,       6.0,,,    1015.7,    1020.7,       2.6
의성,278,10-20,      11.9,      21.0,       5.1,       1.7,      74.3,       5.6,,,    1010.9,    1020.4,       0.9
구미,279,10-20,      13.4,      20.7,       7.7,       1.8,      71.9,       6.0,,,    1014.9,    1020.6,       1.1
영천,281,10-20,      13.3,      20.8,       7.1,       1.6,      70.0,       5.9,,,    1009.3,    1020.4,       1.4
경주시,283,10-20,      14.4,      21.2,       8.9,       3.6,      78.4,       4.7,,,    1015.9,    1020.5,       2.0
경주시,283,10-20,      14.4,      21.2,       8.9,       3.6,      78.4,       4.7,,,    1015.9,    1020.5,       2.0
거창,284,10-20,      12.1,      20.5,       5.5,       1.8,      74.1,       5.9,,,     993.9,    1020.6,       1.0
합천,285,10-20,      13.7,      21.7,       7.8,       1.9,      70.9,       6.1,,,    1016.4,    1020.3,       1.1
밀양,288,10-20,      14.5,      22.0,       8.0,       1.5,      71.5,       6.4,,,    1018.6,    1020.1,       1.2
산청,289,10-20,      13.2,      21.2,       7.5,       2.0,      71.2,       5.9,,,    1004.1,    1020.8,       1.1
거제,294,10-20,      16.2,      21.3,      11.6,       3.2,      67.4,       6.5,,,    1014.5,    1019.2,       1.4
남해,295,10-20,      16.0,      21.4,      11.7,       3.0,      66.1,       6.7,,,    1014.6,    1020.1,       1.6
강남,400,10-20,      15.5,      20.5,      11.4,       1.2,,,,,,,       1.4
서초,401,10-20,      15.5,      20.9,      11.1,       1.2,,,,,,,       1.1
강동,402,10-20,      14.4,      20.3,       9.5,       1.2,,,,,,,       1.2
송파,403,10-20,      15.8,      20.8,      11.4,       1.1,,,,,,,       1.5
강서,404,10-20,      15.1,      20.1,      10.7,       1.1,,,,,,,       1.5
양천,405,10-20,      16.0,      20.8,      11.8,       1.2,,,,,,,       1.2
도봉,406,10-20,      13.7,      20.4,       8.2,       1.3,,,,,,,       0.8
노원,407,10-20,      13.1,      20.3,       7.0,       1.2,,,,,,,       1.2
동대문,408,10-20,      15.5,      20.8,      11.0,       1.2,,,,,,,       1.5
중랑,409,10-20,      15.5,      20.4,      11.0,       1.2,,,,,,,       1.9
기상청,410,10-20,      15.5,      20.5,      11.5,       1.2,,,,,,,       1.2
마포,411,10-20,      15.8,      20.6,      11.9,       1.2,,,,,,,       1.9
서대문,412,10-20,      14.4,      20.5,       9.8,       1.3,,,,,,,       1.4
광진,413,10-20,      15.2,      20.5,      10.8,       1.1,,,,,,,       1.5
성북,414,10-20,      14.6,      19.5,      10.1,       1.3,,,,,,,       1.4
용산,415,10-20,      15.7,      20.7,      11.4,       1.1,,,,,,,       1.5
은평,416,10-20,      14.1,      20.1,       9.0,       1.1,,,,,,,       1.4
금천,417,10-20,      15.7,      20.2,      11.8,       1.4,,,,,,,       1.6
중구,419,10-20,      14.0,      18.7,      10.1,       1.1,,,,,,,       2.4
성동,421,10-20,      15.9,      20.5,      12.0,       1.4,,,,,,,       1.8
구로,423,10-20,      14.8,      20.2,      10.3,       1.5,,,,,,,       1.7
강북,424,10-20,      15.4,      20.6,      10.9,       1.8,,,,,,,       1.4
남현,425,10-20,      14.5,      19.8,      10.0,       2.0,,,,,,,       1.0
부천,433,10-20,      15.6,      20.8,      11.1,       1.5,,,,,,,       1.0
안양,434,10-20,      15.5,      20.3,      11.5,       1.9,,,,,,,       1.9
광명,437,10-20,      16.5,      20.7,      12.6,       1.8,,,,,,,       1.7
군포,438,10-20,      15.6,      20.6,      11.6,       1.9,,,,,,,       1.1
김포,441,10-20,      14.1,      19.9,       9.3,       1.3,,,,,,,       1.2
하남,444,10-20,      14.0,      20.8,       8.6,       1.7,,,,,,,       0.7
의왕,445,10-20,      13.7,      19.6,       8.8,       1.9,,,,,,,       0.8
포천,504,10-20,      12.2,      20.3,       6.1,       1.3,,,,,,,       1.1
가평조종,505,10-20,      10.8,      19.3,       4.6,       1.4,,,,,,,       0.9
영등포,510,10-20,      16.0,      20.8,      12.5,       1.3,,,,,,,       1.4
인천연수,512,10-20,      15.2,      20.6,      10.3,       1.5,,,,,,,       1.4
안성,516,10-20,      14.0,      20.8,       8.4,       2.0,,,,,,,       0.9
간성,517,10-20,      13.4,      18.9,       8.6,       3.4,,,,,,,       1.7
평창,526,10-20,      11.2,      19.2,       5.3,       1.6,,,,,,,       1.0
의정부,532,10-20,      12.8,      20.0,       7.1,       1.3,,,,,,,       0.8
횡성,536,10-20,      12.0,      20.5,       5.9,       1.6,,,,,,,       1.1
고양,540,10-20,      13.4,      20.7,       7.3,       1.2,,,,,,,       1.1
남양주,541,10-20,      12.2,      20.5,       6.0,       1.1,,,,,,,       0.8
안산,545,10-20,      12.9,      20.4,       6.7,       1.7,,,,,,,       1.2
경기광주,546,10-20,      12.9,      19.9,       7.7,       1.7,,,,,,,       1.5
여주,548,10-20,      12.2,      19.9,       6.8,       1.5,,,,,,,       0.9
용인,549,10-20,      12.5,      20.0,       6.9,       1.7,,,,,,,       1.0
오산,550,10-20,      13.6,      20.6,       8.3,       1.7,,,,,,,       0.9
평택,551,10-20,      14.6,      20.9,       8.6,       1.8,,,,,,,       1.3
화천,555,10-20,      11.2,      20.0,       5.7,       1.0,,,,,,,       1.1
양구,556,10-20,      10.6,      19.6,       5.1,       1.2,,,,,,,       0.9
시흥,565,10-20,      14.6,      20.5,       9.5,       1.3,,,,,,,       1.3
구리,569,10-20,      14.2,      20.2,       9.1,       1.2,,,,,,,       1.2
금곡,570,10-20,      14.1,      19.9,       9.1,       1.0,,,,,,,       1.1
화성,571,10-20,      14.5,      20.2,       9.5,       1.4,,,,,,,       1.1
성남,572,10-20,      14.6,      20.4,       9.5,       1.4,,,,,,,       0.9
과천,590,10-20,      13.9,      20.5,       8.5,       1.4,,,,,,,       1.4
진부령,595,10-20,      10.0,      15.9,       5.3,       4.0,,,,,,,       2.4
양주,598,10-20,      12.2,      20.3,       5.8,       0.9,,,,,,,       0.8
단양,601,10-20,      12.5,      19.8,       7.4,       2.0,,,,,,,       0.7
진천,602,10-20,      12.4,      20.5,       6.8,       2.2,,,,,,,       1.0
괴산,603,10-20,      11.8,      20.2,       5.9,       2.0,,,,,,,       0.8
옥천,604,10-20,      12.6,      20.4,       7.1,       2.4,,,,,,,       0.8
세종연서,611,10-20,      12.4,      20.6,       6.7,       1.7,,,,,,,       0.9
공주,612,10-20,      13.5,      20.9,       7.6,       1.5,,,,,,,       1.1
서천,614,10-20,      14.0,      20.9,       8.2,       1.7,,,,,,,       1.5
논산,615,10-20,      13.5,      21.3,       7.1,       1.9,,,,,,,       1.2
당진,616,10-20,      13.4,      19.9,       8.0,       1.8,,,,,,,       1.4
청양,618,10-20,      12.5,      20.5,       6.0,       2.1,,,,,,,       0.9
음성,619,10-20,      11.5,      20.6,       4.9,       2.0,,,,,,,       1.1
증평,623,10-20,      12.6,      20.7,       6.5,       1.8,,,,,,,       0.9
태안,627,10-20,      15.2,      20.5,      10.8,       2.2,,,,,,,       1.6
예산,628,10-20,      13.7,      20.9,       7.9,       2.0,,,,,,,       1.5
아산,634,10-20,      14.1,      20.3,       8.5,       1.8,,,,,,,       1.5
계룡,636,10-20,      12.7,      20.5,       6.1,       2.2,,,,,,,       0.8
오월드,642,10-20,      14.8,      21.2,       9.7,       2.0,,,,,,,       0.9
세천,643,10-20,      13.2,      20.6,       7.5,       1.9,,,,,,,       0.8
장동,648,10-20,      13.5,      20.7,       7.9,       1.8,,,,,,,       0.9
부평,649,10-20,      14.0,      21.0,       8.3,       1.5,,,,,,,       0.5
연천청산,652,10-20,      12.6,      20.3,       6.6,       1.4,,,,,,,       0.9
양양,670,10-20,      14.7,      19.5,      10.3,       3.0,,,,,,,       2.2
사북,674,10-20,      10.3,      15.6,       5.9,       3.7,,,,,,,       1.9
무안,699,10-20,      15.2,      21.3,      10.1,       1.6,,,,,,,       1.7
무주,701,10-20,      12.3,      20.4,       6.4,       2.3,,,,,,,       1.0
익산,702,10-20,      14.6,      21.3,       8.7,       1.8,,,,,,,       1.3
진안,703,10-20,      11.6,      19.9,       5.5,       2.2,,,,,,,       1.3
담양,706,10-20,      14.4,      21.9,       8.5,       2.2,,,,,,,       1.6
광산,708,10-20,      15.0,      22.1,       8.7,       1.4,,,,,,,       1.5
구례,709,10-20,      13.9,      22.5,       7.8,       1.9,,,,,,,       1.0
나주,710,10-20,      14.8,      22.4,       8.9,       1.8,,,,,,,       1.2
순천시,712,10-20,      16.5,      22.5,      11.8,       2.1,,,,,,,       1.7
광양읍,713,10-20,      15.9,      22.7,      10.3,       2.1,,,,,,,       1.4
조선대,722,10-20,      15.8,      22.0,      10.9,       1.5,,,,,,,       1.6
거문도,723,10-20,      18.4,      21.1,      16.5,       2.7,,,,,,,       3.9
추자도,724,10-20,      18.2,      20.7,      16.0,       1.9,,,,,,,       3.8
장성,730,10-20,      14.1,      21.7,       8.3,       1.7,,,,,,,       1.1
영암,731,10-20,      15.1,      22.2,       9.2,       1.5,,,,,,,       1.5
보성,732,10-20,      13.5,      21.2,       7.3,       2.1,,,,,,,       1.3
완주,734,10-20,      14.2,      21.8,       8.2,       1.8,,,,,,,       1.5
김제,737,10-20,      14.8,      21.6,       9.6,       1.7,,,,,,,       1.8
화순,741,10-20,      14.6,      22.5,       8.8,       1.8,,,,,,,       0.7
함평,754,10-20,      15.4,      22.2,       9.7,       1.8,,,,,,,       1.3
곡성,768,10-20,      13.9,      21.9,       7.9,       1.6,,,,,,,       0.9
성판악,782,10-20,      12.5,      16.2,       9.2,       8.9,,,,,,,       2.7
풍암,788,10-20,      15.8,      23.0,      10.1,       1.7,,,,,,,       0.9
압해도,789,10-20,      16.3,      21.3,      12.2,       1.6,,,,,,,       2.7
영양,801,10-20,      12.0,      19.5,       6.6,       2.5,,,,,,,       1.3
성주,810,10-20,      13.5,      21.1,       7.4,       2.1,,,,,,,       0.9
고령,812,10-20,      13.4,      21.4,       7.2,       2.0,,,,,,,       0.7
청도,813,10-20,      13.6,      21.4,       7.3,       2.0,,,,,,,       1.1
예천,815,10-20,      12.2,      20.6,       6.2,       1.9,,,,,,,       0.9
김천,822,10-20,      13.0,      21.1,       6.9,       2.0,,,,,,,       0.8
군위,823,10-20,      12.1,      20.7,       6.1,       1.9,,,,,,,       1.2
칠곡,825,10-20,      13.7,      21.5,       7.7,       2.0,,,,,,,       1.3
경산,827,10-20,      15.0,      21.7,       9.8,       2.1,,,,,,,       1.5
달성,828,10-20,      14.9,      22.1,       9.6,       2.1,,,,,,,       1.4
대구서구,846,10-20,      15.7,      21.2,      10.7,       2.0,,,,,,,       1.5
신암,860,10-20,      15.6,      21.4,      10.6,       1.8,      63.3,       6.3,       3.9,,    1013.5,    1020.7,       1.8
완산,864,10-20,      14.9,      21.7,       9.6,       1.8,      68.9,       6.4,       3.6,       2.4,    1013.5,    1020.1,       1.4
삼척,876,10-20,      15.1,      19.6,      11.2,       3.8,,,,,,,       1.9
울기,901,10-20,      17.2,      20.7,      14.5,       3.5,,,,,,,       2.7
삼천포,907,10-20,      17.2,      21.9,      13.3,       3.0,,,,,,,       1.9
영도,910,10-20,      17.1,      20.7,      14.4,       3.5,,,,,,,       3.6
고성,918,10-20,      16.0,      22.4,      10.5,       2.7,,,,,,,       1.8
창녕,919,10-20,      14.4,      22.2,       8.0,       2.2,,,,,,,       1.7
함안,920,10-20,      13.7,      22.6,       7.4,       2.7,,,,,,,       0.9
가덕도,921,10-20,      17.5,      21.3,      14.7,       3.0,,,,,,,       3.6
기장,923,10-20,      16.5,      21.4,      12.2,       3.6,,,,,,,       2.2
간절곶,924,10-20,      17.4,      20.6,      14.1,       3.8,,,,,,,       4.3
하동,932,10-20,      16.0,      22.8,      10.1,       2.8,,,,,,,       1.4
해운대,937,10-20,      17.6,      22.0,      14.1,       4.2,,,,,,,       2.3
부산진,938,10-20,      17.3,      21.8,      13.6,       2.9,,,,,,,       1.9
동래,940,10-20,      17.1,      22.0,      13.2,       2.8,,,,,,,       1.6
북구,941,10-20,      16.6,      21.3,      12.6,       2.6,,,,,,,       2.0
부산남구,942,10-20,      17.9,      21.6,      14.5,       3.2,,,,,,,       2.1
정자,949,10-20,      16.6,      20.9,      12.0,       2.5,,,,,,,       3.9
속초,90,10-21,      14.2,      18.7,       9.9,       3.4,      67.0,       5.7,,,    1017.3,    1019.5,       2.3
철원,95,10-21,      11.0,      18.5,       4.6,       1.3,      72.0,       6.3,,,    1001.5,    1020.1,       1.4
동두천,98,10-21,      12.6,      20.1,       7.1,       1.9,      70.1,       6.0,,,    1006.6,    1020.0,       1.2
파주,99,10-21,      12.2,      19.5,       6.6,       1.5,      75.0,       6.1,,,    1016.2,    1019.9,       1.4
대관령,100,10-21,       7.9,      13.8,       2.6,       4.8,      77.0,       6.1,,,     926.1,    1020.7,       3.1
춘천,101,10-21,      11.9,      19.0,       6.6,       1.3,      75.6,       5.7,,,    1011.2,    1020.4,       1.0
백령도,102,10-21,      14.0,      17.3,      11.7,       1.1,      71.9,       6.5,       4.2,,    1003.8,    1019.8,       3.8
강릉,105,10-21,      14.7,      19.6,      10.6,       5.5,      62.6,       5.8,,,    1016.6,    1019.8,       2.5
동해,106,10-21,      14.3,      19.0,       9.9,       4.5,      68.7,       5.7,,,    1014.7,    1019.2,       2.5
서울,108,10-21,      14.5,      19.8,      10.0,       1.4,      61.6,       6.5,       3.4,       2.9,    1009.7,    1020.0,       2.0
인천,112,10-21,      14.8,      19.5,      10.8,       1.6,      67.7,       6.9,       3.5,       2.8,    1011.5,    1019.7,       2.3
원주,114,10-21,      12.4,      19.4,       6.8,       1.7,      71.1,       6.0,,,    1002.2,    1020.2,       0.8
울릉도,115,10-21,      14.6,      17.9,      12.3,       2.9,      71.2,       5.5,       5.4,       2.9,     993.2,    1019.5,       3.9
수원,119,10-21,      13.9,      20.0,       8.6,       1.6,      70.6,       6.6,       3.5,       2.7,    1016.0,    1020.3,       1.4
영월,121,10-21,      12.0,      19.8,       6.2,       1.6,      72.9,       5.7,,,     991.6,    1020.3,       1.2
충주,127,10-21,      12.0,      19.7,       6.2,       2.0,      73.4,       6.0,,,    1008.5,    1020.4,       1.3
서산,129,10-21,      13.6,      20.1,       7.9,       1.8,      74.6,       6.7,,,    1017.1,    1020.1,       1.9
울진,130,10-21,      14.3,      19.2,       9.7,       3.1,      70.3,       5.9,,,    1013.5,    1019.5,       3.3
청주,131,10-21,      14.0,      20.3,       8.6,       1.7,      67.3,       6.5,       3.6,       2.7,    1013.2,    1020.2,       1.3
대전,133,10-21,      14.0,      20.3,       8.7,       1.9,      72.1,       6.6,       3.7,       2.4,    1011.8,    1020.1,       1.4
추풍령,135,10-21,      12.3,      19.1,       6.5,       2.0,      72.1,       6.1,,,     991.1,    1020.3,       1.8
안동,136,10-21,      12.6,      19.7,       7.1,       2.0,      72.9,       5.7,       4.8,       2.6,    1003.5,    1020.4,       1.2
상주,137,10-21,      12.8,      19.7,       7.6,       2.7,      74.4,       5.4,,,    1008.0,    1019.7,       1.1
포항,138,10-21,      16.2,      20.4,      12.4,       2.2,      65.6,       5.8,       4.7,       3.0,    1019.4,    1019.8,       2.6
군산,140,10-21,      14.8,      20.1,      10.4,       1.6,      74.3,       6.7,,,    1016.8,    1020.0,       2.6
울산,152,10-21,      15.7,      20.8,      11.5,       2.2,      67.6,       5.7,       4.8,,    1014.4,    1019.4,       2.1
창원,155,10-21,      16.5,      21.3,      12.6,       1.9,      63.0,       6.3,       4.1,,    1016.4,    1019.0,       1.8
광주,156,10-21,      15.5,      21.4,      10.6,       1.6,      67.7,       6.5,       4.0,,    1011.0,    1019.6,       1.6
부산,159,10-21,      17.1,      21.6,      13.8,       3.1,      63.2,       6.5,       4.4,       3.1,    1010.6,    1018.8,       3.2
통영,162,10-21,      16.7,      21.5,      13.0,       2.7,      67.3,       6.6,,,    1015.6,    1019.3,       2.5
목포,165,10-21,      16.1,      21.2,      12.1,       1.5,      71.3,       6.6,       4.1,       3.0,    1014.7,    1019.7,       3.2
여수,168,10-21,      16.9,      20.4,      14.0,       2.3,      62.7,       6.8,       3.8,       4.2,    1011.2,    1019.2,       4.5
흑산도,169,10-21,      16.5,      19.1,      14.7,       0.9,      78.0,       6.2,       4.4,,    1009.9,    1019.2,       5.0
완도,170,10-21,      16.4,      21.2,      12.4,       1.9,      70.6,       6.4,,,    1015.7,    1019.4,       2.9
고창,172,10-21,      14.8,      21.4,       9.2,       2.3,      82.2,       6.2,,,    1013.2,    1019.4,       2.0
제주,184,10-21,      18.1,      21.2,      15.3,       2.2,      67.0,       5.2,       5.3,       3.3,    1016.8,    1019.4,       3.1
고산,185,10-21,      18.0,      21.1,      15.3,       1.8,      70.3,       6.3,,,    1010.0,    1018.5,       6.3
성산,188,10-21,      17.8,      21.4,      14.3,       3.1,      69.7,       6.0,,,    1016.9,    1019.1,       3.2
서귀포,189,10-21,      19.0,      22.9,      15.9,       2.6,      63.8,       6.5,       4.6,       3.7,    1012.3,    1018.3,       2.9
진주,192,10-21,      14.2,      21.4,       8.0,       2.6,      71.7,       6.5,,,    1016.4,    1019.5,       1.1
강화,201,10-21,      13.0,      19.1,       7.4,       1.5,      69.9,       6.8,,,    1014.9,    1020.6,       1.6
양평,202,10-21,      12.2,      19.7,       6.7,       1.5,      75.4,       6.2,,,    1015.1,    1021.0,       0.9
이천,203,10-21,      12.1,      19.8,       6.0,       1.6,      71.0,       6.2,,,    1011.0,    1020.2,       0.9
인제,211,10-21,      10.8,      18.4,       5.4,       1.5,      72.0,       5.3,,,     996.9,    1020.9,       1.6
홍천,212,10-21,      11.1,      19.4,       5.5,       1.4,      71.5,       5.7,,,    1004.0,    1021.0,       0.9
태백,216,10-21,       9.6,      15.9,       4.2,       2.8,      71.3,       5.6,,,     937.0,    1020.1,       1.6
정선군,217,10-21,      11.9,      18.9,       7.1,       2.6,      74.1,       3.7,,,     984.3,    1020.8,       1.3
제천,221,10-21,      10.7,      19.0,       4.0,       2.3,      72.1,       6.5,,,     989.5,    1020.8,       1.2
보은,226,10-21,      11.4,      19.5,       5.1,       2.1,      73.9,       6.4,,,     999.2,    1020.0,       1.0
천안,232,10-21,      12.7,      20.1,       6.6,       1.8,      71.3,       6.9,,,    1016.1,    1020.2,       1.4
보령,235,10-21,      14.6,      20.3,       9.6,       1.8,      71.9,       7.1,,,    1017.9,    1020.0,       1.6
